"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L01C03","L01C03","1","0","01","03","16.00",16.00,"51221729","CH de Mont-Joli"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L01C04","L01C04","1","0","01","04","0.00",0.00,"51221729","CH de Mont-Joli"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L01C05","L01C05","1","0","01","05","0.00",0.00,"51221729","CH de Mont-Joli"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L02C03","L02C03","1","0","02","03","5.00",5.00,"51218352","CH du Grand-Portage"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L02C04","L02C04","1","0","02","04","0.00",0.00,"51218352","CH du Grand-Portage"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L02C05","L02C05","1","0","02","05","0.00",0.00,"51218352","CH du Grand-Portage"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L03C03","L03C03","1","0","03","03","0.00",0.00,"51227965","CR en déficience physique de Rimouski"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L03C04","L03C04","1","0","03","04","0.00",0.00,"51227965","CR en déficience physique de Rimouski"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L03C05","L03C05","1","0","03","05","0.00",0.00,"51227965","CR en déficience physique de Rimouski"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L04C03","L04C03","1","0","04","03","0.00",0.00,"51224376","CR en déficience physique de Rivière-du-Loup"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L04C04","L04C04","1","0","04","04","0.00",0.00,"51224376","CR en déficience physique de Rivière-du-Loup"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L04C05","L04C05","1","0","04","05","0.00",0.00,"51224376","CR en déficience physique de Rivière-du-Loup"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L05C03","L05C03","1","0","05","03","0.00",0.00,"51221729","CR en déficience physique de Mont-Joli"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L05C04","L05C04","1","0","05","04","0.00",0.00,"51221729","CR en déficience physique de Mont-Joli"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L05C05","L05C05","1","0","05","05","0.00",0.00,"51221729","CR en déficience physique de Mont-Joli"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L40C03","L40C03","1","0","40","03","21.00",21.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L40C04","L40C04","1","0","40","04","0.00",0.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L40C05","L40C05","1","0","40","05","0.00",0.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L01C03","L01C03","2","0","01","03","5056.00",5056.00,"51221729","CH de Mont-Joli (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L01C06","L01C06","2","0","01","06","16.00",16.00,"51221729","CH de Mont-Joli (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L01C07","L01C07","2","0","01","07","86.58",86.58,"51221729","CH de Mont-Joli (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L01C08","L01C08","2","0","01","08","5056.00",5056.00,"51221729","CH de Mont-Joli (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L01C09","L01C09","2","0","01","09","5840.00",5840.00,"51221729","CH de Mont-Joli (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L02C03","L02C03","2","0","02","03","2039.00",2039.00,"51218352","CH du Grand-Portage (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L02C06","L02C06","2","0","02","06","5.00",5.00,"51218352","CH du Grand-Portage (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L02C07","L02C07","2","0","02","07","111.73",111.73,"51218352","CH du Grand-Portage (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L02C08","L02C08","2","0","02","08","2039.00",2039.00,"51218352","CH du Grand-Portage (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L02C09","L02C09","2","0","02","09","1825.00",1825.00,"51218352","CH du Grand-Portage (URFI)"
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L40C03","L40C03","2","0","40","03","7095.00",7095.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L40C04","L40C04","2","0","40","04","0.00",0.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L40C05","L40C05","2","0","40","05","0.00",0.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L40C06","L40C06","2","0","40","06","21.00",21.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L40C07","L40C07","2","0","40","07","92.56",92.56,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L40C08","L40C08","2","0","40","08","7095.00",7095.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L40C09","L40C09","2","0","40","09","7665.00",7665.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C06","L01C06","4","0","01","06","6.00",6.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C07","L01C07","4","0","01","07","9.00",9.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C08","L01C08","4","0","01","08","5.00",5.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C09","L01C09","4","0","01","09","20.00",20.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C05","L02C05","4","0","02","05","3.00",3.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C06","L02C06","4","0","02","06","34.00",34.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C07","L02C07","4","0","02","07","39.00",39.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C08","L02C08","4","0","02","08","54.00",54.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C09","L02C09","4","0","02","09","130.00",130.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C05","L03C05","4","0","03","05","3.00",3.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C06","L03C06","4","0","03","06","40.00",40.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C07","L03C07","4","0","03","07","48.00",48.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C08","L03C08","4","0","03","08","59.00",59.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C09","L03C09","4","0","03","09","150.00",150.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C05","L04C05","4","0","04","05","3.00",3.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C06","L04C06","4","0","04","06","34.00",34.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C07","L04C07","4","0","04","07","40.00",40.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C08","L04C08","4","0","04","08","49.00",49.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C09","L04C09","4","0","04","09","126.00",126.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C05","L06C05","4","0","06","05","3.00",3.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C06","L06C06","4","0","06","06","34.00",34.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C07","L06C07","4","0","06","07","40.00",40.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C08","L06C08","4","0","06","08","49.00",49.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C09","L06C09","4","0","06","09","126.00",126.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L07C06","L07C06","4","0","07","06","6.00",6.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L07C07","L07C07","4","0","07","07","8.00",8.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L07C08","L07C08","4","0","07","08","10.00",10.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L07C09","L07C09","4","0","07","09","24.00",24.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C06","L08C06","4","0","08","06","3.00",3.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C07","L08C07","4","0","08","07","4.00",4.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C08","L08C08","4","0","08","08","5.00",5.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C09","L08C09","4","0","08","09","12.00",12.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C06","L09C06","4","0","09","06","3.00",3.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C07","L09C07","4","0","09","07","4.00",4.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C08","L09C08","4","0","09","08","5.00",5.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C09","L09C09","4","0","09","09","12.00",12.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C05","L10C05","4","0","10","05","1.00",1.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C06","L10C06","4","0","10","06","17.00",17.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C07","L10C07","4","0","10","07","17.00",17.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C08","L10C08","4","0","10","08","22.00",22.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C09","L10C09","4","0","10","09","57.00",57.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C05","L11C05","4","0","11","05","2.00",2.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C06","L11C06","4","0","11","06","12.00",12.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C07","L11C07","4","0","11","07","20.00",20.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C08","L11C08","4","0","11","08","23.00",23.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C09","L11C09","4","0","11","09","57.00",57.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C06","L12C06","4","0","12","06","5.00",5.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C07","L12C07","4","0","12","07","3.00",3.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C08","L12C08","4","0","12","08","4.00",4.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C09","L12C09","4","0","12","09","12.00",12.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L16C05","L16C05","4","0","16","05","3.00",3.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L16C06","L16C06","4","0","16","06","34.00",34.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L16C07","L16C07","4","0","16","07","40.00",40.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L16C08","L16C08","4","0","16","08","49.00",49.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L16C09","L16C09","4","0","16","09","126.00",126.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L18C01","L18C01","4","0","18","01","111.00",111.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L19C01","L19C01","4","0","19","01","9.00",9.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L25C01","L25C01","4","0","25","01","5.00",5.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L26C01","L26C01","4","0","26","01","1.00",1.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L33C01","L33C01","4","0","33","01","126.00",126.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-1L01C01","L01C01","4","1","01","01","53.00",53.00,,
"AS484",2022-04-01,2023-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-1L02C01","L02C01","4","1","02","01","53.00",53.00,,
