"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C06","L02C06","4","0","02","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C07","L02C07","4","0","02","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C01","L03C01","4","0","03","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C02","L03C02","4","0","03","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C03","L03C03","4","0","03","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C04","L03C04","4","0","03","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C05","L03C05","4","0","03","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C06","L03C06","4","0","03","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C07","L03C07","4","0","03","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C01","L04C01","4","0","04","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C02","L04C02","4","0","04","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C03","L04C03","4","0","04","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C04","L04C04","4","0","04","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C05","L04C05","4","0","04","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C06","L04C06","4","0","04","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C07","L04C07","4","0","04","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L05C01","L05C01","4","0","05","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L05C02","L05C02","4","0","05","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L05C03","L05C03","4","0","05","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L05C04","L05C04","4","0","05","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L05C05","L05C05","4","0","05","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L05C06","L05C06","4","0","05","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L05C07","L05C07","4","0","05","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C01","L06C01","4","0","06","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C02","L06C02","4","0","06","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C03","L06C03","4","0","06","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C04","L06C04","4","0","06","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C05","L06C05","4","0","06","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C06","L06C06","4","0","06","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L06C07","L06C07","4","0","06","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L07C07","L07C07","4","0","07","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C01","L08C01","4","0","08","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C02","L08C02","4","0","08","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C03","L08C03","4","0","08","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C04","L08C04","4","0","08","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C05","L08C05","4","0","08","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C06","L08C06","4","0","08","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L08C07","L08C07","4","0","08","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C01","L09C01","4","0","09","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C02","L09C02","4","0","09","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C03","L09C03","4","0","09","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C04","L09C04","4","0","09","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C05","L09C05","4","0","09","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C06","L09C06","4","0","09","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L09C07","L09C07","4","0","09","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C01","L10C01","4","0","10","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C02","L10C02","4","0","10","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C03","L10C03","4","0","10","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C04","L10C04","4","0","10","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C05","L10C05","4","0","10","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C06","L10C06","4","0","10","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L10C07","L10C07","4","0","10","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C01","L11C01","4","0","11","01","0.00",0.00,,
