"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C01","L01C01","9","","01","01","2.00",2.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C02","L01C02","9","","01","02","2.00",2.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C03","L01C03","9","","01","03","2.00",2.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C04","L01C04","9","","01","04","1.00",1.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C05","L01C05","9","","01","05","1.00",1.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C06","L01C06","9","","01","06","1.00",1.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C07","L01C07","9","","01","07","0.00",0.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C08","L01C08","9","","01","08","0.00",0.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L01C09","L01C09","9","","01","09","9.00",9.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C01","L02C01","9","","02","01","0.00",0.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C02","L02C02","9","","02","02","2.00",2.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C03","L02C03","9","","02","03","1.00",1.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C04","L02C04","9","","02","04","0.00",0.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C05","L02C05","9","","02","05","0.00",0.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C06","L02C06","9","","02","06","0.00",0.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C07","L02C07","9","","02","07","0.00",0.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C08","L02C08","9","","02","08","0.00",0.00,,
"AS485",2019-04-01,2020-03-31,"11","11044088","CISSS DES ÎLES","P09L02C09","L02C09","9","","02","09","3.00",3.00,,
