"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P01-0L40C03","L40C03","1","0","40","03","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P01-0L40C04","L40C04","1","0","40","04","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P01-0L40C05","L40C05","1","0","40","05","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P01-0L40C06","L40C06","1","0","40","06","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C01","L01C01","9","0","01","01","3.00",3.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C02","L01C02","9","0","01","02","3.00",3.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C03","L01C03","9","0","01","03","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C04","L01C04","9","0","01","04","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C05","L01C05","9","0","01","05","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C06","L01C06","9","0","01","06","2.00",2.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C07","L01C07","9","0","01","07","2.00",2.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C08","L01C08","9","0","01","08","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L01C09","L01C09","9","0","01","09","12.00",12.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C01","L02C01","9","0","02","01","3.00",3.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C02","L02C02","9","0","02","02","2.00",2.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C03","L02C03","9","0","02","03","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C04","L02C04","9","0","02","04","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C05","L02C05","9","0","02","05","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C06","L02C06","9","0","02","06","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C07","L02C07","9","0","02","07","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C08","L02C08","9","0","02","08","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L02C09","L02C09","9","0","02","09","7.00",7.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C01","L03C01","9","0","03","01","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C02","L03C02","9","0","03","02","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C03","L03C03","9","0","03","03","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C04","L03C04","9","0","03","04","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C05","L03C05","9","0","03","05","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C06","L03C06","9","0","03","06","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C07","L03C07","9","0","03","07","2.00",2.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C08","L03C08","9","0","03","08","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L03C09","L03C09","9","0","03","09","5.00",5.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C01","L04C01","9","0","04","01","5.00",5.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C02","L04C02","9","0","04","02","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C03","L04C03","9","0","04","03","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C04","L04C04","9","0","04","04","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C05","L04C05","9","0","04","05","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C06","L04C06","9","0","04","06","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C07","L04C07","9","0","04","07","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C08","L04C08","9","0","04","08","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L04C09","L04C09","9","0","04","09","6.00",6.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C01","L05C01","9","0","05","01","3.00",3.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C02","L05C02","9","0","05","02","5.00",5.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C03","L05C03","9","0","05","03","3.00",3.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C04","L05C04","9","0","05","04","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C05","L05C05","9","0","05","05","3.00",3.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C06","L05C06","9","0","05","06","5.00",5.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C07","L05C07","9","0","05","07","2.00",2.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C08","L05C08","9","0","05","08","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L05C09","L05C09","9","0","05","09","21.00",21.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C01","L06C01","9","0","06","01","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C02","L06C02","9","0","06","02","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C03","L06C03","9","0","06","03","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C04","L06C04","9","0","06","04","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C05","L06C05","9","0","06","05","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C06","L06C06","9","0","06","06","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C07","L06C07","9","0","06","07","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C08","L06C08","9","0","06","08","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L06C09","L06C09","9","0","06","09","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L07C09","L07C09","9","0","07","09","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L08C09","L08C09","9","0","08","09","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L09C09","L09C09","9","0","09","09","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L10C09","L10C09","9","0","10","09","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C01","L11C01","9","0","11","01","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C02","L11C02","9","0","11","02","2.00",2.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C03","L11C03","9","0","11","03","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C04","L11C04","9","0","11","04","1.00",1.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C05","L11C05","9","0","11","05","9.00",9.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C06","L11C06","9","0","11","06","15.00",15.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C07","L11C07","9","0","11","07","2.00",2.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C08","L11C08","9","0","11","08","0.00",0.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L11C09","L11C09","9","0","11","09","30.00",30.00,,
"AS485",2022-04-01,2023-03-31,"11","11044088","CISSS des Îles","P09-0L12C01","L12C01","9","0","12","01","1.00",1.00,,
